calibration_method,budget,task_equal_delta_log_loss,material_harm_rate,estimable_rate,model_strata,method_label,source_file,q25,q75,minimum_task_model,maximum_task_model,task_model_cells,spread_definition
intercept_only_mle,25,-0.0001027348306337,0.4311884850312947,0.9766666666666666,2,Intercept MLE,results/stage2ds/H2_EVIDENCE_STRENGTH.csv,-0.00660661469116885,0.00291416762798825,-0.0119530476341682,0.0161812663328107,10,IQR/min/max of 10 frozen task-model medians; not a confidence interval
intercept_only_mle,50,0.0040396511586921,0.3042272727272727,0.998,2,Intercept MLE,results/stage2ds/H2_EVIDENCE_STRENGTH.csv,-0.00274957143315225,0.007354179569538475,-0.0050493921051516,0.0178610216356904,10,IQR/min/max of 10 frozen task-model medians; not a confidence interval
intercept_only_mle,100,0.0067109038587743,0.1501666666666666,1.0,2,Intercept MLE,results/stage2ds/H2_EVIDENCE_STRENGTH.csv,0.00016575899803313358,0.010669884099620199,-0.0025951867808616,0.020054834200745,10,IQR/min/max of 10 frozen task-model medians; not a confidence interval
intercept_only_mle,250,0.0081800152854626,0.0424999999999999,1.0,2,Intercept MLE,results/stage2ds/H2_EVIDENCE_STRENGTH.csv,0.0012352711649172752,0.012142348065580351,-0.0009593826999414,0.0226813303959219,10,IQR/min/max of 10 frozen task-model medians; not a confidence interval
intercept_only_mle,500,0.0088028216980807,0.0103333333333333,1.0,2,Intercept MLE,results/stage2ds/H2_EVIDENCE_STRENGTH.csv,0.0016538168737604,0.012423525179078075,-0.0006051241763188,0.0243218633266548,10,IQR/min/max of 10 frozen task-model medians; not a confidence interval
isotonic,25,-0.4217630410952292,0.9974746631027952,0.6446666666666667,2,Isotonic,results/stage2ds/H2_EVIDENCE_STRENGTH.csv,-0.5330110843466127,-0.30401995810099647,-0.5634116386617029,-0.2605029592394576,10,IQR/min/max of 10 frozen task-model medians; not a confidence interval
isotonic,50,-0.2595208373149069,0.98304102866117,0.8726666666666667,2,Isotonic,results/stage2ds/H2_EVIDENCE_STRENGTH.csv,-0.3148337103481297,-0.22935804722922687,-0.3456335910874236,-0.1344415364679377,10,IQR/min/max of 10 frozen task-model medians; not a confidence interval
isotonic,100,-0.1364597818774504,0.95066301703163,0.9826666666666666,2,Isotonic,results/stage2ds/H2_EVIDENCE_STRENGTH.csv,-0.15719462174082655,-0.12852101177215475,-0.1733042144533907,-0.0651830064586833,10,IQR/min/max of 10 frozen task-model medians; not a confidence interval
isotonic,250,-0.0477080932786681,0.8648333333333333,1.0,2,Isotonic,results/stage2ds/H2_EVIDENCE_STRENGTH.csv,-0.06821710214739968,-0.04017153790129875,-0.0701611879387588,-0.0041075107988414,10,IQR/min/max of 10 frozen task-model medians; not a confidence interval
isotonic,500,-0.0172225287881186,0.7316666666666667,1.0,2,Isotonic,results/stage2ds/H2_EVIDENCE_STRENGTH.csv,-0.03227227371431107,-0.014873685855334549,-0.0342169391497066,0.0169814271972621,10,IQR/min/max of 10 frozen task-model medians; not a confidence interval
jeffreys_smoothed_intercept_matching,25,0.0003423027068349,0.4356666666666666,1.0,2,Jeffreys intercept,results/stage2ds/H2_EVIDENCE_STRENGTH.csv,-0.0052934921897097005,0.003869264045983075,-0.0116427956547618,0.0150460491734609,10,IQR/min/max of 10 frozen task-model medians; not a confidence interval
jeffreys_smoothed_intercept_matching,50,0.0043731753039444,0.2943333333333333,1.0,2,Jeffreys intercept,results/stage2ds/H2_EVIDENCE_STRENGTH.csv,-0.002328208860510025,0.008532601636623175,-0.0050066928747192,0.0177571167100341,10,IQR/min/max of 10 frozen task-model medians; not a confidence interval
jeffreys_smoothed_intercept_matching,100,0.0066941857280121,0.1433333333333333,1.0,2,Jeffreys intercept,results/stage2ds/H2_EVIDENCE_STRENGTH.csv,0.00015357026162995192,0.010933494102910675,-0.0025742514976361,0.0195037666883435,10,IQR/min/max of 10 frozen task-model medians; not a confidence interval
jeffreys_smoothed_intercept_matching,250,0.0080759359915441,0.0426666666666666,1.0,2,Jeffreys intercept,results/stage2ds/H2_EVIDENCE_STRENGTH.csv,0.001230706270291,0.0121192233979693,-0.0009501213108618,0.0219777119601035,10,IQR/min/max of 10 frozen task-model medians; not a confidence interval
jeffreys_smoothed_intercept_matching,500,0.008680310631623,0.0098333333333333,1.0,2,Jeffreys intercept,results/stage2ds/H2_EVIDENCE_STRENGTH.csv,0.001655877508519,0.012413130916667174,-0.000569762900501,0.0237084095036198,10,IQR/min/max of 10 frozen task-model medians; not a confidence interval
sigmoid,25,-0.0254511141021986,0.73953581931981,0.9766666666666666,2,Sigmoid,results/stage2ds/H2_EVIDENCE_STRENGTH.csv,-0.03443106639066065,-0.018827428823352175,-0.0399947615107002,-0.008982286759437,10,IQR/min/max of 10 frozen task-model medians; not a confidence interval
sigmoid,50,-0.0061352695162802,0.5725185185185185,0.998,2,Sigmoid,results/stage2ds/H2_EVIDENCE_STRENGTH.csv,-0.013313671503352975,-0.0017710257767260499,-0.0149327218910021,0.0084515313758916,10,IQR/min/max of 10 frozen task-model medians; not a confidence interval
sigmoid,100,0.0025343962665339,0.3351666666666666,1.0,2,Sigmoid,results/stage2ds/H2_EVIDENCE_STRENGTH.csv,-0.004766141552073475,0.0065827840567696,-0.0052326281803241,0.0176578683906654,10,IQR/min/max of 10 frozen task-model medians; not a confidence interval
sigmoid,250,0.0068735823478615,0.0894999999999999,1.0,2,Sigmoid,results/stage2ds/H2_EVIDENCE_STRENGTH.csv,-0.0004923406050927749,0.01119401236343345,-0.0012344666949851,0.0212461180772051,10,IQR/min/max of 10 frozen task-model medians; not a confidence interval
sigmoid,500,0.0084861991188476,0.017,1.0,2,Sigmoid,results/stage2ds/H2_EVIDENCE_STRENGTH.csv,0.000666254695024,0.012464536071854024,-0.0004109338986937,0.0250114844486496,10,IQR/min/max of 10 frozen task-model medians; not a confidence interval
