dataset,source_family,base_model,calibration_method,budget,median,budget_fraction_of_target_pool,observed_positive_count,observed_negative_count,task_label,method_label,model_label,source_file
acsincome_region,acs,logistic_regression,intercept_only_mle,25,-0.0060055602187294,0.000739404335867,10.0,15.0,ACS Income,Intercept MLE,Logistic regression,results/stage2de/h3_common5_budget_curve.parquet
acsincome_region,acs,logistic_regression,sigmoid,25,-0.0399947615107002,0.000739404335867,10.0,15.0,ACS Income,Sigmoid,Logistic regression,results/stage2de/h3_common5_budget_curve.parquet
acsincome_region,acs,logistic_regression,isotonic,25,-0.5483178362763976,0.000739404335867,10.0,15.0,ACS Income,Isotonic,Logistic regression,results/stage2de/h3_common5_budget_curve.parquet
acsincome_region,acs,logistic_regression,jeffreys_smoothed_intercept_matching,25,-0.0048781669063608,0.000739404335867,10.0,15.0,ACS Income,Jeffreys intercept,Logistic regression,results/stage2de/h3_common5_budget_curve.parquet
acsincome_region,acs,logistic_regression,intercept_only_mle,50,-0.0018622344643158,0.001478808671734,20.0,30.0,ACS Income,Intercept MLE,Logistic regression,results/stage2de/h3_common5_budget_curve.parquet
acsincome_region,acs,logistic_regression,sigmoid,50,-0.0149327218910021,0.001478808671734,20.0,30.0,ACS Income,Sigmoid,Logistic regression,results/stage2de/h3_common5_budget_curve.parquet
acsincome_region,acs,logistic_regression,isotonic,50,-0.3168573653884657,0.001478808671734,20.0,30.0,ACS Income,Isotonic,Logistic regression,results/stage2de/h3_common5_budget_curve.parquet
acsincome_region,acs,logistic_regression,jeffreys_smoothed_intercept_matching,50,-0.0016386823125484,0.001478808671734,20.0,30.0,ACS Income,Jeffreys intercept,Logistic regression,results/stage2de/h3_common5_budget_curve.parquet
acsincome_region,acs,logistic_regression,intercept_only_mle,100,0.0008708335322989,0.0029576173434681,41.0,59.0,ACS Income,Intercept MLE,Logistic regression,results/stage2de/h3_common5_budget_curve.parquet
acsincome_region,acs,logistic_regression,sigmoid,100,-0.0047958285146351,0.0029576173434681,41.0,59.0,ACS Income,Sigmoid,Logistic regression,results/stage2de/h3_common5_budget_curve.parquet
acsincome_region,acs,logistic_regression,isotonic,100,-0.1733042144533907,0.0029576173434681,41.0,59.0,ACS Income,Isotonic,Logistic regression,results/stage2de/h3_common5_budget_curve.parquet
acsincome_region,acs,logistic_regression,jeffreys_smoothed_intercept_matching,100,0.0008256829079796,0.0029576173434681,41.0,59.0,ACS Income,Jeffreys intercept,Logistic regression,results/stage2de/h3_common5_budget_curve.parquet
acsincome_region,acs,logistic_regression,intercept_only_mle,250,0.0019996912385895,0.0073940433586702,100.5,149.5,ACS Income,Intercept MLE,Logistic regression,results/stage2de/h3_common5_budget_curve.parquet
acsincome_region,acs,logistic_regression,sigmoid,250,0.0002752819064925,0.0073940433586702,100.5,149.5,ACS Income,Sigmoid,Logistic regression,results/stage2de/h3_common5_budget_curve.parquet
acsincome_region,acs,logistic_regression,isotonic,250,-0.0701472581703138,0.0073940433586702,100.5,149.5,ACS Income,Isotonic,Logistic regression,results/stage2de/h3_common5_budget_curve.parquet
acsincome_region,acs,logistic_regression,jeffreys_smoothed_intercept_matching,250,0.0020117862104899,0.0073940433586702,100.5,149.5,ACS Income,Jeffreys intercept,Logistic regression,results/stage2de/h3_common5_budget_curve.parquet
acsincome_region,acs,logistic_regression,intercept_only_mle,500,0.0029104317837983,0.0147880867173405,202.0,298.0,ACS Income,Intercept MLE,Logistic regression,results/stage2de/h3_common5_budget_curve.parquet
acsincome_region,acs,logistic_regression,sigmoid,500,0.0019064416872085,0.0147880867173405,202.0,298.0,ACS Income,Sigmoid,Logistic regression,results/stage2de/h3_common5_budget_curve.parquet
acsincome_region,acs,logistic_regression,isotonic,500,-0.0342169391497066,0.0147880867173405,202.0,298.0,ACS Income,Isotonic,Logistic regression,results/stage2de/h3_common5_budget_curve.parquet
acsincome_region,acs,logistic_regression,jeffreys_smoothed_intercept_matching,500,0.0029116366218187,0.0147880867173405,202.0,298.0,ACS Income,Jeffreys intercept,Logistic regression,results/stage2de/h3_common5_budget_curve.parquet
acsincome_region,acs,xgboost_cpu,intercept_only_mle,25,0.0012914478991682,0.000739404335867,10.0,15.0,ACS Income,Intercept MLE,CPU XGBoost,results/stage2de/h3_common5_budget_curve.parquet
acsincome_region,acs,xgboost_cpu,sigmoid,25,-0.0319657457335916,0.000739404335867,10.0,15.0,ACS Income,Sigmoid,CPU XGBoost,results/stage2de/h3_common5_budget_curve.parquet
acsincome_region,acs,xgboost_cpu,isotonic,25,-0.4756802318211596,0.000739404335867,10.0,15.0,ACS Income,Isotonic,CPU XGBoost,results/stage2de/h3_common5_budget_curve.parquet
acsincome_region,acs,xgboost_cpu,jeffreys_smoothed_intercept_matching,25,0.0020923100173527,0.000739404335867,10.0,15.0,ACS Income,Jeffreys intercept,CPU XGBoost,results/stage2de/h3_common5_budget_curve.parquet
acsincome_region,acs,xgboost_cpu,intercept_only_mle,50,0.0051598805042207,0.001478808671734,20.0,30.0,ACS Income,Intercept MLE,CPU XGBoost,results/stage2de/h3_common5_budget_curve.parquet
acsincome_region,acs,xgboost_cpu,sigmoid,50,-0.0072929213893201,0.001478808671734,20.0,30.0,ACS Income,Sigmoid,CPU XGBoost,results/stage2de/h3_common5_budget_curve.parquet
acsincome_region,acs,xgboost_cpu,isotonic,50,-0.3087627452271217,0.001478808671734,20.0,30.0,ACS Income,Isotonic,CPU XGBoost,results/stage2de/h3_common5_budget_curve.parquet
acsincome_region,acs,xgboost_cpu,jeffreys_smoothed_intercept_matching,50,0.0051153013667626,0.001478808671734,20.0,30.0,ACS Income,Jeffreys intercept,CPU XGBoost,results/stage2de/h3_common5_budget_curve.parquet
acsincome_region,acs,xgboost_cpu,intercept_only_mle,100,0.0070287785789696,0.0029576173434681,41.0,59.0,ACS Income,Intercept MLE,CPU XGBoost,results/stage2de/h3_common5_budget_curve.parquet
acsincome_region,acs,xgboost_cpu,sigmoid,100,0.0015561152559805,0.0029576173434681,41.0,59.0,ACS Income,Sigmoid,CPU XGBoost,results/stage2de/h3_common5_budget_curve.parquet
acsincome_region,acs,xgboost_cpu,isotonic,100,-0.1584600417667372,0.0029576173434681,41.0,59.0,ACS Income,Isotonic,CPU XGBoost,results/stage2de/h3_common5_budget_curve.parquet
acsincome_region,acs,xgboost_cpu,jeffreys_smoothed_intercept_matching,100,0.0071477930423845,0.0029576173434681,41.0,59.0,ACS Income,Jeffreys intercept,CPU XGBoost,results/stage2de/h3_common5_budget_curve.parquet
acsincome_region,acs,xgboost_cpu,intercept_only_mle,250,0.0083453808973607,0.0073940433586702,100.5,149.5,ACS Income,Intercept MLE,CPU XGBoost,results/stage2de/h3_common5_budget_curve.parquet
acsincome_region,acs,xgboost_cpu,sigmoid,250,0.0063712045624421,0.0073940433586702,100.5,149.5,ACS Income,Sigmoid,CPU XGBoost,results/stage2de/h3_common5_budget_curve.parquet
acsincome_region,acs,xgboost_cpu,isotonic,250,-0.0663075685686591,0.0073940433586702,100.5,149.5,ACS Income,Isotonic,CPU XGBoost,results/stage2de/h3_common5_budget_curve.parquet
acsincome_region,acs,xgboost_cpu,jeffreys_smoothed_intercept_matching,250,0.008340161872718,0.0073940433586702,100.5,149.5,ACS Income,Jeffreys intercept,CPU XGBoost,results/stage2de/h3_common5_budget_curve.parquet
acsincome_region,acs,xgboost_cpu,intercept_only_mle,500,0.0084796709565655,0.0147880867173405,202.0,298.0,ACS Income,Intercept MLE,CPU XGBoost,results/stage2de/h3_common5_budget_curve.parquet
acsincome_region,acs,xgboost_cpu,sigmoid,500,0.007744937628552,0.0147880867173405,202.0,298.0,ACS Income,Sigmoid,CPU XGBoost,results/stage2de/h3_common5_budget_curve.parquet
acsincome_region,acs,xgboost_cpu,isotonic,500,-0.0303465087871272,0.0147880867173405,202.0,298.0,ACS Income,Isotonic,CPU XGBoost,results/stage2de/h3_common5_budget_curve.parquet
acsincome_region,acs,xgboost_cpu,jeffreys_smoothed_intercept_matching,500,0.0084747136343958,0.0147880867173405,202.0,298.0,ACS Income,Jeffreys intercept,CPU XGBoost,results/stage2de/h3_common5_budget_curve.parquet
acsfoodstamps_household,acs,logistic_regression,intercept_only_mle,25,-0.0119530476341682,0.002839295854628,7.0,18.0,ACS Food Stamps,Intercept MLE,Logistic regression,results/stage2de/h3_common5_budget_curve.parquet
acsfoodstamps_household,acs,logistic_regression,sigmoid,25,-0.03611244548963,0.002839295854628,7.0,18.0,ACS Food Stamps,Sigmoid,Logistic regression,results/stage2de/h3_common5_budget_curve.parquet
acsfoodstamps_household,acs,logistic_regression,isotonic,25,-0.5634116386617029,0.002839295854628,7.0,18.0,ACS Food Stamps,Isotonic,Logistic regression,results/stage2de/h3_common5_budget_curve.parquet
acsfoodstamps_household,acs,logistic_regression,jeffreys_smoothed_intercept_matching,25,-0.0116427956547618,0.002839295854628,7.0,18.0,ACS Food Stamps,Jeffreys intercept,Logistic regression,results/stage2de/h3_common5_budget_curve.parquet
acsfoodstamps_household,acs,logistic_regression,intercept_only_mle,50,-0.0050493921051516,0.0056785917092561,13.0,37.0,ACS Food Stamps,Intercept MLE,Logistic regression,results/stage2de/h3_common5_budget_curve.parquet
acsfoodstamps_household,acs,logistic_regression,sigmoid,50,-0.0138477825570496,0.0056785917092561,13.0,37.0,ACS Food Stamps,Sigmoid,Logistic regression,results/stage2de/h3_common5_budget_curve.parquet
acsfoodstamps_household,acs,logistic_regression,isotonic,50,-0.3456335910874236,0.0056785917092561,13.0,37.0,ACS Food Stamps,Isotonic,Logistic regression,results/stage2de/h3_common5_budget_curve.parquet
acsfoodstamps_household,acs,logistic_regression,jeffreys_smoothed_intercept_matching,50,-0.0050066928747192,0.0056785917092561,13.0,37.0,ACS Food Stamps,Jeffreys intercept,Logistic regression,results/stage2de/h3_common5_budget_curve.parquet
acsfoodstamps_household,acs,logistic_regression,intercept_only_mle,100,-0.0025951867808616,0.0113571834185122,26.0,74.0,ACS Food Stamps,Intercept MLE,Logistic regression,results/stage2de/h3_common5_budget_curve.parquet
acsfoodstamps_household,acs,logistic_regression,sigmoid,100,-0.0052326281803241,0.0113571834185122,26.0,74.0,ACS Food Stamps,Sigmoid,Logistic regression,results/stage2de/h3_common5_budget_curve.parquet
acsfoodstamps_household,acs,logistic_regression,isotonic,100,-0.171463517639771,0.0113571834185122,26.0,74.0,ACS Food Stamps,Isotonic,Logistic regression,results/stage2de/h3_common5_budget_curve.parquet
acsfoodstamps_household,acs,logistic_regression,jeffreys_smoothed_intercept_matching,100,-0.0025742514976361,0.0113571834185122,26.0,74.0,ACS Food Stamps,Jeffreys intercept,Logistic regression,results/stage2de/h3_common5_budget_curve.parquet
acsfoodstamps_household,acs,logistic_regression,intercept_only_mle,250,-0.0009593826999414,0.0283929585462805,66.5,183.5,ACS Food Stamps,Intercept MLE,Logistic regression,results/stage2de/h3_common5_budget_curve.parquet
