dataset,source_family,split_seed,base_model,model_seed,delta_auroc,delta_brier,delta_log_loss,task_label,model_label,source_file
acsfoodstamps_household,acs,0,logistic_regression,0,-0.0169948054424881,0.0196786223484972,0.0508768287420743,ACS Food Stamps,Logistic regression,results/stage2de/h4_probability_pairs.parquet
acsfoodstamps_household,acs,0,xgboost_cpu,0,-0.0148350787138785,0.0183249331429302,0.0468337392562348,ACS Food Stamps,CPU XGBoost,results/stage2de/h4_probability_pairs.parquet
acsfoodstamps_household,acs,0,xgboost_cpu,1,-0.0147218385203965,0.0181537894622029,0.0466580813183258,ACS Food Stamps,CPU XGBoost,results/stage2de/h4_probability_pairs.parquet
acsfoodstamps_household,acs,1,logistic_regression,0,-0.0181210224454901,0.0185918581807707,0.0482219611074946,ACS Food Stamps,Logistic regression,results/stage2de/h4_probability_pairs.parquet
acsfoodstamps_household,acs,1,xgboost_cpu,0,-0.0196469407692364,0.0184442970301355,0.0475331358939145,ACS Food Stamps,CPU XGBoost,results/stage2de/h4_probability_pairs.parquet
acsfoodstamps_household,acs,1,xgboost_cpu,1,-0.0194560904428909,0.0183096644684805,0.0473362105980904,ACS Food Stamps,CPU XGBoost,results/stage2de/h4_probability_pairs.parquet
acsfoodstamps_household,acs,2,logistic_regression,0,-0.0230164123705391,0.0199992391812282,0.0536744612306794,ACS Food Stamps,Logistic regression,results/stage2de/h4_probability_pairs.parquet
acsfoodstamps_household,acs,2,xgboost_cpu,0,-0.0200853634910609,0.0180981951569488,0.0476687889197783,ACS Food Stamps,CPU XGBoost,results/stage2de/h4_probability_pairs.parquet
acsfoodstamps_household,acs,2,xgboost_cpu,1,-0.0202819198626683,0.0181952928026224,0.0478752777014871,ACS Food Stamps,CPU XGBoost,results/stage2de/h4_probability_pairs.parquet
acsincome_region,acs,0,logistic_regression,0,0.0044011692011909,0.0050208206041438,0.0147943061387948,ACS Income,Logistic regression,results/stage2de/h4_probability_pairs.parquet
acsincome_region,acs,0,xgboost_cpu,0,0.0084151862921809,0.007253267937652,0.0168919957044875,ACS Income,CPU XGBoost,results/stage2de/h4_probability_pairs.parquet
acsincome_region,acs,0,xgboost_cpu,1,0.0085562621142859,0.0071490245649707,0.0164249881271345,ACS Income,CPU XGBoost,results/stage2de/h4_probability_pairs.parquet
acsincome_region,acs,1,logistic_regression,0,0.0082648783831492,0.0024776716680734,0.0069971120830956,ACS Income,Logistic regression,results/stage2de/h4_probability_pairs.parquet
acsincome_region,acs,1,xgboost_cpu,0,0.0104706177612986,0.0051237411028656,0.0119197249369644,ACS Income,CPU XGBoost,results/stage2de/h4_probability_pairs.parquet
acsincome_region,acs,1,xgboost_cpu,1,0.0106057413505075,0.0051167622696994,0.0119112117781652,ACS Income,CPU XGBoost,results/stage2de/h4_probability_pairs.parquet
acsincome_region,acs,2,logistic_regression,0,0.002040595043662,0.0070385813009785,0.0209715974263783,ACS Income,Logistic regression,results/stage2de/h4_probability_pairs.parquet
acsincome_region,acs,2,xgboost_cpu,0,0.0089309725617278,0.0075224766877854,0.0181624610590768,ACS Income,CPU XGBoost,results/stage2de/h4_probability_pairs.parquet
acsincome_region,acs,2,xgboost_cpu,1,0.0091076613927756,0.0075239080522544,0.0180451306709887,ACS Income,CPU XGBoost,results/stage2de/h4_probability_pairs.parquet
brfss_diabetes,brfss,0,logistic_regression,0,-0.0054376162219206,0.027545865738843,0.0739164826885444,BRFSS Diabetes,Logistic regression,results/stage2de/h4_probability_pairs.parquet
brfss_diabetes,brfss,0,xgboost_cpu,0,-0.0070530611698432,0.0276085721534131,0.0729977529858207,BRFSS Diabetes,CPU XGBoost,results/stage2de/h4_probability_pairs.parquet
brfss_diabetes,brfss,0,xgboost_cpu,1,-0.0070328991147292,0.0275350992095179,0.0728341664542071,BRFSS Diabetes,CPU XGBoost,results/stage2de/h4_probability_pairs.parquet
brfss_diabetes,brfss,1,logistic_regression,0,-0.0040857568592377,0.0270732407104713,0.071710570603085,BRFSS Diabetes,Logistic regression,results/stage2de/h4_probability_pairs.parquet
brfss_diabetes,brfss,1,xgboost_cpu,0,-0.0075660258050668,0.0274794765446716,0.0718254172052533,BRFSS Diabetes,CPU XGBoost,results/stage2de/h4_probability_pairs.parquet
brfss_diabetes,brfss,1,xgboost_cpu,1,-0.0071999817525154,0.0274928624967122,0.0717746933547834,BRFSS Diabetes,CPU XGBoost,results/stage2de/h4_probability_pairs.parquet
brfss_diabetes,brfss,2,logistic_regression,0,0.0013601363487744,0.0280286066427579,0.0746440358542074,BRFSS Diabetes,Logistic regression,results/stage2de/h4_probability_pairs.parquet
brfss_diabetes,brfss,2,xgboost_cpu,0,-0.0033123049327589,0.0286038952427067,0.074853024881134,BRFSS Diabetes,CPU XGBoost,results/stage2de/h4_probability_pairs.parquet
