dataset,source_family,base_model,calibration_method,metric,effect_column,budget,absolute_budget,budget_fraction_of_target_pool,observed_positive_count,observed_negative_count,median,IQR,p05,p95,worst_observed_effect,availability_rate,algorithm_estimability_rate,estimable_rate,any_benefit_rate,any_harm_rate,material_benefit_rate,material_harm_rate,total_attempts,available_attempts,algorithm_estimable_attempts,finite_paired_effects,in_analysis_scope,analysis_scope,equal_task_effect,equal_family_effect,estimable_task_count_at_budget,source_family_count_at_budget,source_file
college_scorecard_2018,college_scorecard,logistic_regression,intercept_only_mle,log_loss,delta_log_loss,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,,,,,True,college_stress,0.0,0.0,1.0,1.0,results/stage2de/h3_college_stress_case.parquet
college_scorecard_2018,college_scorecard,logistic_regression,sigmoid,log_loss,delta_log_loss,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,,,,,True,college_stress,0.0,0.0,1.0,1.0,results/stage2de/h3_college_stress_case.parquet
college_scorecard_2018,college_scorecard,logistic_regression,isotonic,log_loss,delta_log_loss,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,,,,,True,college_stress,0.0,0.0,1.0,1.0,results/stage2de/h3_college_stress_case.parquet
college_scorecard_2018,college_scorecard,logistic_regression,jeffreys_smoothed_intercept_matching,log_loss,delta_log_loss,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,,,,,True,college_stress,0.0,0.0,1.0,1.0,results/stage2de/h3_college_stress_case.parquet
college_scorecard_2018,college_scorecard,xgboost_cpu,intercept_only_mle,log_loss,delta_log_loss,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,,,,,True,college_stress,0.0,0.0,1.0,1.0,results/stage2de/h3_college_stress_case.parquet
college_scorecard_2018,college_scorecard,xgboost_cpu,sigmoid,log_loss,delta_log_loss,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,,,,,True,college_stress,0.0,0.0,1.0,1.0,results/stage2de/h3_college_stress_case.parquet
college_scorecard_2018,college_scorecard,xgboost_cpu,isotonic,log_loss,delta_log_loss,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,,,,,True,college_stress,0.0,0.0,1.0,1.0,results/stage2de/h3_college_stress_case.parquet
college_scorecard_2018,college_scorecard,xgboost_cpu,jeffreys_smoothed_intercept_matching,log_loss,delta_log_loss,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,,,,,True,college_stress,0.0,0.0,1.0,1.0,results/stage2de/h3_college_stress_case.parquet
college_scorecard_2018,college_scorecard,logistic_regression,intercept_only_mle,relative_log_loss,relative_delta_log_loss,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,,,,,True,college_stress,0.0,0.0,1.0,1.0,results/stage2de/h3_college_stress_case.parquet
college_scorecard_2018,college_scorecard,logistic_regression,sigmoid,relative_log_loss,relative_delta_log_loss,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,,,,,True,college_stress,0.0,0.0,1.0,1.0,results/stage2de/h3_college_stress_case.parquet
college_scorecard_2018,college_scorecard,logistic_regression,isotonic,relative_log_loss,relative_delta_log_loss,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,,,,,True,college_stress,0.0,0.0,1.0,1.0,results/stage2de/h3_college_stress_case.parquet
college_scorecard_2018,college_scorecard,logistic_regression,jeffreys_smoothed_intercept_matching,relative_log_loss,relative_delta_log_loss,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,,,,,True,college_stress,0.0,0.0,1.0,1.0,results/stage2de/h3_college_stress_case.parquet
college_scorecard_2018,college_scorecard,xgboost_cpu,intercept_only_mle,relative_log_loss,relative_delta_log_loss,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,,,,,True,college_stress,0.0,0.0,1.0,1.0,results/stage2de/h3_college_stress_case.parquet
college_scorecard_2018,college_scorecard,xgboost_cpu,sigmoid,relative_log_loss,relative_delta_log_loss,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,,,,,True,college_stress,0.0,0.0,1.0,1.0,results/stage2de/h3_college_stress_case.parquet
college_scorecard_2018,college_scorecard,xgboost_cpu,isotonic,relative_log_loss,relative_delta_log_loss,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,,,,,True,college_stress,0.0,0.0,1.0,1.0,results/stage2de/h3_college_stress_case.parquet
college_scorecard_2018,college_scorecard,xgboost_cpu,jeffreys_smoothed_intercept_matching,relative_log_loss,relative_delta_log_loss,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,,,,,True,college_stress,0.0,0.0,1.0,1.0,results/stage2de/h3_college_stress_case.parquet
college_scorecard_2018,college_scorecard,logistic_regression,intercept_only_mle,brier_skill,delta_brier_skill,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,,,,,True,college_stress,0.0,0.0,1.0,1.0,results/stage2de/h3_college_stress_case.parquet
college_scorecard_2018,college_scorecard,logistic_regression,sigmoid,brier_skill,delta_brier_skill,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,,,,,True,college_stress,0.0,0.0,1.0,1.0,results/stage2de/h3_college_stress_case.parquet
