dataset,source_family,entity_unit,split_seed,base_model,model_seed,acquisition_strategy,adaptation_seed,budget,fit_domain,calibration_method,evaluation_split,conformal_method,score_source,schema_version,status,status_reason,actual_entities,positive_labels,negative_labels,n_eval,positive_eval,negative_eval,evaluation_prevalence,marginal_coverage,class0_coverage,class1_coverage,worst_class_coverage,worst_class_undercoverage,absolute_coverage_error,mean_set_size,empty_set_fraction,singleton_fraction,doubleton_fraction,estimable,finite_threshold,runtime_seconds,config_hash,data_hash,split_hash,sample_hash,commit,timestamp_utc
acsincome_region,acs,person,0,logistic_regression,0,blind_random,-1,0,source,uncalibrated,source_id_test,standard,base_uncalibrated_probability,stage2_v2,success,,20000,6566,13434,30000,9831,20169,0.32769999999999999,0.90003333333333335,0.94119688631067477,0.81558335876309629,0.81558335876309629,0.084416641236903733,3.3333333333329662e-05,1.1790333333333334,0,0.82096666666666662,0.17903333333333332,True,True,0.0029774531722068787,411203fe5100ef369736ab5e818bf3c0b374e6a13e237709d7507437ec81a944,57d25909a06f8a044e9d4d68d15a5a83f9e4c354115085cbdfab74684c53967f,388280e28df93edaf3c7227106e42611ccb11fc45925a6ad0f0834bcadf5eee5,8fda9d7bc468e54a0c851bcafbb9f19184fc1926395e12e57d58251a6b58b533,d745e5412c1d530a2ae64e2eaa42c85c1f64e419,2026-07-12T14:17:52.333016+00:00
acsincome_region,acs,person,0,logistic_regression,0,blind_random,-1,0,source,uncalibrated,target_final_test,standard,base_uncalibrated_probability,stage2_v2,success,,20000,6566,13434,50000,20062,29938,0.40123999999999999,0.89470000000000005,0.93058988576391211,0.84114245837902502,0.84114245837902502,0.058857541620975007,0.0052999999999999714,1.1827399999999999,0,0.81725999999999999,0.18274000000000001,True,True,0.0041489768773317337,411203fe5100ef369736ab5e818bf3c0b374e6a13e237709d7507437ec81a944,57d25909a06f8a044e9d4d68d15a5a83f9e4c354115085cbdfab74684c53967f,388280e28df93edaf3c7227106e42611ccb11fc45925a6ad0f0834bcadf5eee5,8fda9d7bc468e54a0c851bcafbb9f19184fc1926395e12e57d58251a6b58b533,d745e5412c1d530a2ae64e2eaa42c85c1f64e419,2026-07-12T14:17:52.337186+00:00
acsincome_region,acs,person,0,logistic_regression,0,blind_random,-1,0,source,uncalibrated,source_id_test,mondrian,base_uncalibrated_probability,stage2_v2,success,,20000,6566,13434,30000,9831,20169,0.32769999999999999,0.89923333333333333,0.89811096236799048,0.90153595768487438,0.89811096236799048,0.0018890376320095381,0.00076666666666669325,1.2124333333333333,0,0.78756666666666664,0.21243333333333334,True,True,0.0033731497824192047,411203fe5100ef369736ab5e818bf3c0b374e6a13e237709d7507437ec81a944,57d25909a06f8a044e9d4d68d15a5a83f9e4c354115085cbdfab74684c53967f,388280e28df93edaf3c7227106e42611ccb11fc45925a6ad0f0834bcadf5eee5,8fda9d7bc468e54a0c851bcafbb9f19184fc1926395e12e57d58251a6b58b533,d745e5412c1d530a2ae64e2eaa42c85c1f64e419,2026-07-12T14:17:52.342580+00:00
acsincome_region,acs,person,0,logistic_regression,0,blind_random,-1,0,source,uncalibrated,target_final_test,mondrian,base_uncalibrated_probability,stage2_v2,success,,20000,6566,13434,50000,20062,29938,0.40123999999999999,0.89536000000000004,0.88078695971674792,0.91710696839796635,0.88078695971674792,0.019213040283252103,0.0046399999999999775,1.2004600000000001,0,0.79954000000000003,0.20046,True,True,0.0046358779072761536,411203fe5100ef369736ab5e818bf3c0b374e6a13e237709d7507437ec81a944,57d25909a06f8a044e9d4d68d15a5a83f9e4c354115085cbdfab74684c53967f,388280e28df93edaf3c7227106e42611ccb11fc45925a6ad0f0834bcadf5eee5,8fda9d7bc468e54a0c851bcafbb9f19184fc1926395e12e57d58251a6b58b533,d745e5412c1d530a2ae64e2eaa42c85c1f64e419,2026-07-12T14:17:52.347187+00:00
acsincome_region,acs,person,0,logistic_regression,0,blind_random,-1,0,source,uncalibrated,source_id_test,standard,source_sigmoid_probability,stage2_v2,success,,20000,6566,13434,30000,9831,20169,0.32769999999999999,0.89949999999999997,0.94164311567256676,0.81304038246363541,0.81304038246363541,0.086959617536364608,0.00050000000000005596,1.1784666666666668,0,0.82153333333333334,0.17846666666666666,True,True,0.0027322322130203247,411203fe5100ef369736ab5e818bf3c0b374e6a13e237709d7507437ec81a944,57d25909a06f8a044e9d4d68d15a5a83f9e4c354115085cbdfab74684c53967f,388280e28df93edaf3c7227106e42611ccb11fc45925a6ad0f0834bcadf5eee5,8fda9d7bc468e54a0c851bcafbb9f19184fc1926395e12e57d58251a6b58b533,d745e5412c1d530a2ae64e2eaa42c85c1f64e419,2026-07-12T14:17:52.353062+00:00
acsincome_region,acs,person,0,logistic_regression,0,blind_random,-1,0,source,uncalibrated,target_final_test,standard,source_sigmoid_probability,stage2_v2,success,,20000,6566,13434,50000,20062,29938,0.40123999999999999,0.89471999999999996,0.93155855434564772,0.83974678496660349,0.83974678496660349,0.060253215033396534,0.0052800000000000624,1.1829799999999999,0,0.81701999999999997,0.18298,True,True,0.004094000905752182,411203fe5100ef369736ab5e818bf3c0b374e6a13e237709d7507437ec81a944,57d25909a06f8a044e9d4d68d15a5a83f9e4c354115085cbdfab74684c53967f,388280e28df93edaf3c7227106e42611ccb11fc45925a6ad0f0834bcadf5eee5,8fda9d7bc468e54a0c851bcafbb9f19184fc1926395e12e57d58251a6b58b533,d745e5412c1d530a2ae64e2eaa42c85c1f64e419,2026-07-12T14:17:52.357000+00:00
acsincome_region,acs,person,0,logistic_regression,0,blind_random,-1,0,source,uncalibrated,source_id_test,mondrian,source_sigmoid_probability,stage2_v2,success,,20000,6566,13434,30000,9831,20169,0.32769999999999999,0.89923333333333333,0.89811096236799048,0.90153595768487438,0.89811096236799048,0.0018890376320095381,0.00076666666666669325,1.2124333333333333,0,0.78756666666666664,0.21243333333333334,True,True,0.0032499022781848907,411203fe5100ef369736ab5e818bf3c0b374e6a13e237709d7507437ec81a944,57d25909a06f8a044e9d4d68d15a5a83f9e4c354115085cbdfab74684c53967f,388280e28df93edaf3c7227106e42611ccb11fc45925a6ad0f0834bcadf5eee5,8fda9d7bc468e54a0c851bcafbb9f19184fc1926395e12e57d58251a6b58b533,d745e5412c1d530a2ae64e2eaa42c85c1f64e419,2026-07-12T14:17:52.362451+00:00
acsincome_region,acs,person,0,logistic_regression,0,blind_random,-1,0,source,uncalibrated,target_final_test,mondrian,source_sigmoid_probability,stage2_v2,success,,20000,6566,13434,50000,20062,29938,0.40123999999999999,0.89536000000000004,0.88078695971674792,0.91710696839796635,0.88078695971674792,0.019213040283252103,0.0046399999999999775,1.2004600000000001,0,0.79954000000000003,0.20046,True,True,0.0046844761818647385,411203fe5100ef369736ab5e818bf3c0b374e6a13e237709d7507437ec81a944,57d25909a06f8a044e9d4d68d15a5a83f9e4c354115085cbdfab74684c53967f,388280e28df93edaf3c7227106e42611ccb11fc45925a6ad0f0834bcadf5eee5,8fda9d7bc468e54a0c851bcafbb9f19184fc1926395e12e57d58251a6b58b533,d745e5412c1d530a2ae64e2eaa42c85c1f64e419,2026-07-12T14:17:52.366913+00:00
acsincome_region,acs,person,0,logistic_regression,0,blind_random,0,25,target,uncalibrated,target_final_test,standard,base_uncalibrated_probability,stage2_v2,success,,25,3,22,50000,20062,29938,0.40123999999999999,0.90347999999999995,0.93720355401162403,0.85315521882165291,0.85315521882165291,0.046844781178347117,0.0034799999999999276,1.20922,0,0.79078000000000004,0.20921999999999999,True,True,0.0034722406417131424,411203fe5100ef369736ab5e818bf3c0b374e6a13e237709d7507437ec81a944,57d25909a06f8a044e9d4d68d15a5a83f9e4c354115085cbdfab74684c53967f,388280e28df93edaf3c7227106e42611ccb11fc45925a6ad0f0834bcadf5eee5,0c7da614f5bbd27a456db37178f3f1068991cac5fadca12a827779439bbe7b4d,d745e5412c1d530a2ae64e2eaa42c85c1f64e419,2026-07-12T14:17:52.860903+00:00
acsincome_region,acs,person,0,logistic_regression,0,blind_random,0,25,target,uncalibrated,target_final_test,mondrian,base_uncalibrated_probability,stage2_v2,not_estimable,Mondrian requires at least 5 labels per class,25,3,22,50000,20062,29938,0.40123999999999999,,,,,,,,,,,False,False,0.00017621926963329315,411203fe5100ef369736ab5e818bf3c0b374e6a13e237709d7507437ec81a944,57d25909a06f8a044e9d4d68d15a5a83f9e4c354115085cbdfab74684c53967f,388280e28df93edaf3c7227106e42611ccb11fc45925a6ad0f0834bcadf5eee5,0c7da614f5bbd27a456db37178f3f1068991cac5fadca12a827779439bbe7b4d,d745e5412c1d530a2ae64e2eaa42c85c1f64e419,2026-07-12T14:17:52.864411+00:00
