schema_version,dataset,source_family,split_seed,base_model,model_seed,adaptation_seed,budget,pool_size,pool_positive_count,actual_entities,positive_labels,negative_labels,support_probability_min_1_1,support_probability_min_5_5,mondrian_finite_threshold_probability,reference_type,sample_hash,pool_hash,config_hash,data_hash,split_hash,commit,timestamp_utc
stage2_v2,acsincome_region,acs,0,logistic_regression,0,0,25,33811,13667,25,3,22,0.99999763079416504,0.99153678173494619,0.73578088795769325,true_composition_reference,0c7da614f5bbd27a456db37178f3f1068991cac5fadca12a827779439bbe7b4d,be91f1f7e1abbf7ae1a7981cbfa641b51b47ff66a524a30771b7967352b98408,411203fe5100ef369736ab5e818bf3c0b374e6a13e237709d7507437ec81a944,57d25909a06f8a044e9d4d68d15a5a83f9e4c354115085cbdfab74684c53967f,388280e28df93edaf3c7227106e42611ccb11fc45925a6ad0f0834bcadf5eee5,d745e5412c1d530a2ae64e2eaa42c85c1f64e419,2026-07-12T14:17:52.873223+00:00
stage2_v2,acsincome_region,acs,0,logistic_regression,0,0,50,33811,13667,50,19,31,0.99999999999445766,0.99999968959969598,0.99981635841176986,true_composition_reference,912696766b1aad734ae29d4169956a3561776138ba71d6e4543972abd6722f0b,be91f1f7e1abbf7ae1a7981cbfa641b51b47ff66a524a30771b7967352b98408,411203fe5100ef369736ab5e818bf3c0b374e6a13e237709d7507437ec81a944,57d25909a06f8a044e9d4d68d15a5a83f9e4c354115085cbdfab74684c53967f,388280e28df93edaf3c7227106e42611ccb11fc45925a6ad0f0834bcadf5eee5,d745e5412c1d530a2ae64e2eaa42c85c1f64e419,2026-07-12T14:17:53.349988+00:00
stage2_v2,acsincome_region,acs,0,logistic_regression,0,0,100,33811,13667,100,37,63,1,1,0.99999999999971123,true_composition_reference,b41532b06fd26f1bea0ea1b9e73ffb0cecbb46ceee212456d61519f3541a315d,be91f1f7e1abbf7ae1a7981cbfa641b51b47ff66a524a30771b7967352b98408,411203fe5100ef369736ab5e818bf3c0b374e6a13e237709d7507437ec81a944,57d25909a06f8a044e9d4d68d15a5a83f9e4c354115085cbdfab74684c53967f,388280e28df93edaf3c7227106e42611ccb11fc45925a6ad0f0834bcadf5eee5,d745e5412c1d530a2ae64e2eaa42c85c1f64e419,2026-07-12T14:17:53.830359+00:00
stage2_v2,acsincome_region,acs,0,logistic_regression,0,0,250,33811,13667,250,101,149,1,1,1,true_composition_reference,a5cfb0a7456b32e51054745aa61bc751df15b107f71f5cd74ab2a0d6d0a8d9ff,be91f1f7e1abbf7ae1a7981cbfa641b51b47ff66a524a30771b7967352b98408,411203fe5100ef369736ab5e818bf3c0b374e6a13e237709d7507437ec81a944,57d25909a06f8a044e9d4d68d15a5a83f9e4c354115085cbdfab74684c53967f,388280e28df93edaf3c7227106e42611ccb11fc45925a6ad0f0834bcadf5eee5,d745e5412c1d530a2ae64e2eaa42c85c1f64e419,2026-07-12T14:17:54.294950+00:00
stage2_v2,acsincome_region,acs,0,logistic_regression,0,0,500,33811,13667,500,202,298,1,1,1,true_composition_reference,5c7d9bd514be1f0b55defb6a9af0234713a4aaaea851b0c72b6ab55c675bbe48,be91f1f7e1abbf7ae1a7981cbfa641b51b47ff66a524a30771b7967352b98408,411203fe5100ef369736ab5e818bf3c0b374e6a13e237709d7507437ec81a944,57d25909a06f8a044e9d4d68d15a5a83f9e4c354115085cbdfab74684c53967f,388280e28df93edaf3c7227106e42611ccb11fc45925a6ad0f0834bcadf5eee5,d745e5412c1d530a2ae64e2eaa42c85c1f64e419,2026-07-12T14:17:54.752052+00:00
stage2_v2,acsincome_region,acs,0,logistic_regression,0,1,25,33811,13667,25,9,16,0.99999763079416504,0.99153678173494619,0.73578088795769325,true_composition_reference,e70f42069005907e01ab2e0837c6dc782ee14f52915fd4878ebcfd5b9e8f0d68,be91f1f7e1abbf7ae1a7981cbfa641b51b47ff66a524a30771b7967352b98408,411203fe5100ef369736ab5e818bf3c0b374e6a13e237709d7507437ec81a944,57d25909a06f8a044e9d4d68d15a5a83f9e4c354115085cbdfab74684c53967f,388280e28df93edaf3c7227106e42611ccb11fc45925a6ad0f0834bcadf5eee5,d745e5412c1d530a2ae64e2eaa42c85c1f64e419,2026-07-12T14:17:55.334539+00:00
stage2_v2,acsincome_region,acs,0,logistic_regression,0,1,50,33811,13667,50,19,31,0.99999999999445766,0.99999968959969598,0.99981635841176986,true_composition_reference,992b94017e080cf788cf18d9a69242da11179b7662a12f686fab63b0c2c6e184,be91f1f7e1abbf7ae1a7981cbfa641b51b47ff66a524a30771b7967352b98408,411203fe5100ef369736ab5e818bf3c0b374e6a13e237709d7507437ec81a944,57d25909a06f8a044e9d4d68d15a5a83f9e4c354115085cbdfab74684c53967f,388280e28df93edaf3c7227106e42611ccb11fc45925a6ad0f0834bcadf5eee5,d745e5412c1d530a2ae64e2eaa42c85c1f64e419,2026-07-12T14:17:55.797434+00:00
stage2_v2,acsincome_region,acs,0,logistic_regression,0,1,100,33811,13667,100,34,66,1,1,0.99999999999971123,true_composition_reference,e2441e1cf536823e69618b2ba731ac6b52933dc84ae29400337a7d9c8f871f64,be91f1f7e1abbf7ae1a7981cbfa641b51b47ff66a524a30771b7967352b98408,411203fe5100ef369736ab5e818bf3c0b374e6a13e237709d7507437ec81a944,57d25909a06f8a044e9d4d68d15a5a83f9e4c354115085cbdfab74684c53967f,388280e28df93edaf3c7227106e42611ccb11fc45925a6ad0f0834bcadf5eee5,d745e5412c1d530a2ae64e2eaa42c85c1f64e419,2026-07-12T14:17:56.258693+00:00
stage2_v2,acsincome_region,acs,0,logistic_regression,0,1,250,33811,13667,250,97,153,1,1,1,true_composition_reference,0559d4b54767a3681024bd64448c97f2f495622d49b9521a6310a69b54abc5cb,be91f1f7e1abbf7ae1a7981cbfa641b51b47ff66a524a30771b7967352b98408,411203fe5100ef369736ab5e818bf3c0b374e6a13e237709d7507437ec81a944,57d25909a06f8a044e9d4d68d15a5a83f9e4c354115085cbdfab74684c53967f,388280e28df93edaf3c7227106e42611ccb11fc45925a6ad0f0834bcadf5eee5,d745e5412c1d530a2ae64e2eaa42c85c1f64e419,2026-07-12T14:17:56.716530+00:00
stage2_v2,acsincome_region,acs,0,logistic_regression,0,1,500,33811,13667,500,191,309,1,1,1,true_composition_reference,f45b8563159adb4b77fcd708175fdaad991feb15e19a9fe2ad1617b9ebf1d267,be91f1f7e1abbf7ae1a7981cbfa641b51b47ff66a524a30771b7967352b98408,411203fe5100ef369736ab5e818bf3c0b374e6a13e237709d7507437ec81a944,57d25909a06f8a044e9d4d68d15a5a83f9e4c354115085cbdfab74684c53967f,388280e28df93edaf3c7227106e42611ccb11fc45925a6ad0f0834bcadf5eee5,d745e5412c1d530a2ae64e2eaa42c85c1f64e419,2026-07-12T14:17:57.171830+00:00
stage2_v2,acsincome_region,acs,0,logistic_regression,0,2,25,33811,13667,25,13,12,0.99999763079416504,0.99153678173494619,0.73578088795769325,true_composition_reference,ffe8de81d612ff3839730107ffbf48cb97b40ec9536b2132a3c9f1ec810dabf0,be91f1f7e1abbf7ae1a7981cbfa641b51b47ff66a524a30771b7967352b98408,411203fe5100ef369736ab5e818bf3c0b374e6a13e237709d7507437ec81a944,57d25909a06f8a044e9d4d68d15a5a83f9e4c354115085cbdfab74684c53967f,388280e28df93edaf3c7227106e42611ccb11fc45925a6ad0f0834bcadf5eee5,d745e5412c1d530a2ae64e2eaa42c85c1f64e419,2026-07-12T14:17:57.777179+00:00
stage2_v2,acsincome_region,acs,0,logistic_regression,0,2,50,33811,13667,50,28,22,0.99999999999445766,0.99999968959969598,0.99981635841176986,true_composition_reference,0f2b5f940cd0228f96b83da5445ef806ba3341439aa86f393f0d3f2ecaad5d23,be91f1f7e1abbf7ae1a7981cbfa641b51b47ff66a524a30771b7967352b98408,411203fe5100ef369736ab5e818bf3c0b374e6a13e237709d7507437ec81a944,57d25909a06f8a044e9d4d68d15a5a83f9e4c354115085cbdfab74684c53967f,388280e28df93edaf3c7227106e42611ccb11fc45925a6ad0f0834bcadf5eee5,d745e5412c1d530a2ae64e2eaa42c85c1f64e419,2026-07-12T14:17:58.261943+00:00
stage2_v2,acsincome_region,acs,0,logistic_regression,0,2,100,33811,13667,100,46,54,1,1,0.99999999999971123,true_composition_reference,37282c7bea44b1cdeb9c737b906cda69a82ddd1c8f72c920fa314b50633c1914,be91f1f7e1abbf7ae1a7981cbfa641b51b47ff66a524a30771b7967352b98408,411203fe5100ef369736ab5e818bf3c0b374e6a13e237709d7507437ec81a944,57d25909a06f8a044e9d4d68d15a5a83f9e4c354115085cbdfab74684c53967f,388280e28df93edaf3c7227106e42611ccb11fc45925a6ad0f0834bcadf5eee5,d745e5412c1d530a2ae64e2eaa42c85c1f64e419,2026-07-12T14:17:58.732791+00:00
stage2_v2,acsincome_region,acs,0,logistic_regression,0,2,250,33811,13667,250,104,146,1,1,1,true_composition_reference,80143ff9a7143a499d7f8a4471746a5315aabd16ca90341300a6968146b555c2,be91f1f7e1abbf7ae1a7981cbfa641b51b47ff66a524a30771b7967352b98408,411203fe5100ef369736ab5e818bf3c0b374e6a13e237709d7507437ec81a944,57d25909a06f8a044e9d4d68d15a5a83f9e4c354115085cbdfab74684c53967f,388280e28df93edaf3c7227106e42611ccb11fc45925a6ad0f0834bcadf5eee5,d745e5412c1d530a2ae64e2eaa42c85c1f64e419,2026-07-12T14:17:59.188893+00:00
