dataset,source_family,entity_unit,split_seed,base_model,model_seed,acquisition_strategy,adaptation_seed,budget,fit_domain,calibration_method,conformal_method,score_source,schema_version,status,status_reason,standard_threshold,class0_threshold,class1_threshold,standard_calibration_count,class0_calibration_count,class1_calibration_count,standard_threshold_infinite,class0_threshold_infinite,class1_threshold_infinite,all_thresholds_finite,config_hash,data_hash,split_hash,sample_hash,commit,timestamp_utc
acsincome_region,acs,person,0,logistic_regression,0,blind_random,-1,0,source,uncalibrated,standard,base_uncalibrated_probability,stage2_v2,success,,0.64249692127418201,,,20000,13434,6566,False,False,False,True,411203fe5100ef369736ab5e818bf3c0b374e6a13e237709d7507437ec81a944,57d25909a06f8a044e9d4d68d15a5a83f9e4c354115085cbdfab74684c53967f,388280e28df93edaf3c7227106e42611ccb11fc45925a6ad0f0834bcadf5eee5,8fda9d7bc468e54a0c851bcafbb9f19184fc1926395e12e57d58251a6b58b533,d745e5412c1d530a2ae64e2eaa42c85c1f64e419,2026-07-12T14:17:52.333016+00:00
acsincome_region,acs,person,0,logistic_regression,0,blind_random,-1,0,source,uncalibrated,mondrian,base_uncalibrated_probability,stage2_v2,success,,,0.52615843089185754,0.77606787259735799,20000,13434,6566,False,False,False,True,411203fe5100ef369736ab5e818bf3c0b374e6a13e237709d7507437ec81a944,57d25909a06f8a044e9d4d68d15a5a83f9e4c354115085cbdfab74684c53967f,388280e28df93edaf3c7227106e42611ccb11fc45925a6ad0f0834bcadf5eee5,8fda9d7bc468e54a0c851bcafbb9f19184fc1926395e12e57d58251a6b58b533,d745e5412c1d530a2ae64e2eaa42c85c1f64e419,2026-07-12T14:17:52.342580+00:00
acsincome_region,acs,person,0,logistic_regression,0,blind_random,-1,0,source,uncalibrated,standard,source_sigmoid_probability,stage2_v2,success,,0.64052041175384566,,,20000,13434,6566,False,False,False,True,411203fe5100ef369736ab5e818bf3c0b374e6a13e237709d7507437ec81a944,57d25909a06f8a044e9d4d68d15a5a83f9e4c354115085cbdfab74684c53967f,388280e28df93edaf3c7227106e42611ccb11fc45925a6ad0f0834bcadf5eee5,8fda9d7bc468e54a0c851bcafbb9f19184fc1926395e12e57d58251a6b58b533,d745e5412c1d530a2ae64e2eaa42c85c1f64e419,2026-07-12T14:17:52.353062+00:00
acsincome_region,acs,person,0,logistic_regression,0,blind_random,-1,0,source,uncalibrated,mondrian,source_sigmoid_probability,stage2_v2,success,,,0.52324688184684454,0.77481314269177881,20000,13434,6566,False,False,False,True,411203fe5100ef369736ab5e818bf3c0b374e6a13e237709d7507437ec81a944,57d25909a06f8a044e9d4d68d15a5a83f9e4c354115085cbdfab74684c53967f,388280e28df93edaf3c7227106e42611ccb11fc45925a6ad0f0834bcadf5eee5,8fda9d7bc468e54a0c851bcafbb9f19184fc1926395e12e57d58251a6b58b533,d745e5412c1d530a2ae64e2eaa42c85c1f64e419,2026-07-12T14:17:52.362451+00:00
acsincome_region,acs,person,0,logistic_regression,0,blind_random,0,25,target,uncalibrated,standard,base_uncalibrated_probability,stage2_v2,success,,0.6625580478975156,,,25,22,3,False,False,False,True,411203fe5100ef369736ab5e818bf3c0b374e6a13e237709d7507437ec81a944,57d25909a06f8a044e9d4d68d15a5a83f9e4c354115085cbdfab74684c53967f,388280e28df93edaf3c7227106e42611ccb11fc45925a6ad0f0834bcadf5eee5,0c7da614f5bbd27a456db37178f3f1068991cac5fadca12a827779439bbe7b4d,d745e5412c1d530a2ae64e2eaa42c85c1f64e419,2026-07-12T14:17:52.860903+00:00
acsincome_region,acs,person,0,logistic_regression,0,blind_random,0,25,target,uncalibrated,mondrian,base_uncalibrated_probability,stage2_v2,not_estimable,Mondrian requires at least 5 labels per class,,,,25,22,3,False,False,False,False,411203fe5100ef369736ab5e818bf3c0b374e6a13e237709d7507437ec81a944,57d25909a06f8a044e9d4d68d15a5a83f9e4c354115085cbdfab74684c53967f,388280e28df93edaf3c7227106e42611ccb11fc45925a6ad0f0834bcadf5eee5,0c7da614f5bbd27a456db37178f3f1068991cac5fadca12a827779439bbe7b4d,d745e5412c1d530a2ae64e2eaa42c85c1f64e419,2026-07-12T14:17:52.864411+00:00
acsincome_region,acs,person,0,logistic_regression,0,blind_random,0,25,target,uncalibrated,standard,source_sigmoid_probability,stage2_v2,success,,0.65814855658689164,,,25,22,3,False,False,False,True,411203fe5100ef369736ab5e818bf3c0b374e6a13e237709d7507437ec81a944,57d25909a06f8a044e9d4d68d15a5a83f9e4c354115085cbdfab74684c53967f,388280e28df93edaf3c7227106e42611ccb11fc45925a6ad0f0834bcadf5eee5,0c7da614f5bbd27a456db37178f3f1068991cac5fadca12a827779439bbe7b4d,d745e5412c1d530a2ae64e2eaa42c85c1f64e419,2026-07-12T14:17:52.864610+00:00
acsincome_region,acs,person,0,logistic_regression,0,blind_random,0,25,target,uncalibrated,mondrian,source_sigmoid_probability,stage2_v2,not_estimable,Mondrian requires at least 5 labels per class,,,,25,22,3,False,False,False,False,411203fe5100ef369736ab5e818bf3c0b374e6a13e237709d7507437ec81a944,57d25909a06f8a044e9d4d68d15a5a83f9e4c354115085cbdfab74684c53967f,388280e28df93edaf3c7227106e42611ccb11fc45925a6ad0f0834bcadf5eee5,0c7da614f5bbd27a456db37178f3f1068991cac5fadca12a827779439bbe7b4d,d745e5412c1d530a2ae64e2eaa42c85c1f64e419,2026-07-12T14:17:52.867995+00:00
acsincome_region,acs,person,0,logistic_regression,0,blind_random,0,50,target,uncalibrated,standard,base_uncalibrated_probability,stage2_v2,success,,0.64204984100880791,,,50,31,19,False,False,False,True,411203fe5100ef369736ab5e818bf3c0b374e6a13e237709d7507437ec81a944,57d25909a06f8a044e9d4d68d15a5a83f9e4c354115085cbdfab74684c53967f,388280e28df93edaf3c7227106e42611ccb11fc45925a6ad0f0834bcadf5eee5,912696766b1aad734ae29d4169956a3561776138ba71d6e4543972abd6722f0b,d745e5412c1d530a2ae64e2eaa42c85c1f64e419,2026-07-12T14:17:53.331158+00:00
acsincome_region,acs,person,0,logistic_regression,0,blind_random,0,50,target,uncalibrated,mondrian,base_uncalibrated_probability,stage2_v2,success,,,0.6625580478975156,0.53633886254206087,50,31,19,False,False,False,True,411203fe5100ef369736ab5e818bf3c0b374e6a13e237709d7507437ec81a944,57d25909a06f8a044e9d4d68d15a5a83f9e4c354115085cbdfab74684c53967f,388280e28df93edaf3c7227106e42611ccb11fc45925a6ad0f0834bcadf5eee5,912696766b1aad734ae29d4169956a3561776138ba71d6e4543972abd6722f0b,d745e5412c1d530a2ae64e2eaa42c85c1f64e419,2026-07-12T14:17:53.334901+00:00
acsincome_region,acs,person,0,logistic_regression,0,blind_random,0,50,target,uncalibrated,standard,source_sigmoid_probability,stage2_v2,success,,0.63781173824157422,,,50,31,19,False,False,False,True,411203fe5100ef369736ab5e818bf3c0b374e6a13e237709d7507437ec81a944,57d25909a06f8a044e9d4d68d15a5a83f9e4c354115085cbdfab74684c53967f,388280e28df93edaf3c7227106e42611ccb11fc45925a6ad0f0834bcadf5eee5,912696766b1aad734ae29d4169956a3561776138ba71d6e4543972abd6722f0b,d745e5412c1d530a2ae64e2eaa42c85c1f64e419,2026-07-12T14:17:53.338351+00:00
acsincome_region,acs,person,0,logistic_regression,0,blind_random,0,50,target,uncalibrated,mondrian,source_sigmoid_probability,stage2_v2,success,,,0.65814855658689164,0.53836931913520292,50,31,19,False,False,False,True,411203fe5100ef369736ab5e818bf3c0b374e6a13e237709d7507437ec81a944,57d25909a06f8a044e9d4d68d15a5a83f9e4c354115085cbdfab74684c53967f,388280e28df93edaf3c7227106e42611ccb11fc45925a6ad0f0834bcadf5eee5,912696766b1aad734ae29d4169956a3561776138ba71d6e4543972abd6722f0b,d745e5412c1d530a2ae64e2eaa42c85c1f64e419,2026-07-12T14:17:53.341941+00:00
acsincome_region,acs,person,0,logistic_regression,0,blind_random,0,100,target,uncalibrated,standard,base_uncalibrated_probability,stage2_v2,success,,0.6451102458623299,,,100,63,37,False,False,False,True,411203fe5100ef369736ab5e818bf3c0b374e6a13e237709d7507437ec81a944,57d25909a06f8a044e9d4d68d15a5a83f9e4c354115085cbdfab74684c53967f,388280e28df93edaf3c7227106e42611ccb11fc45925a6ad0f0834bcadf5eee5,b41532b06fd26f1bea0ea1b9e73ffb0cecbb46ceee212456d61519f3541a315d,d745e5412c1d530a2ae64e2eaa42c85c1f64e419,2026-07-12T14:17:53.810456+00:00
acsincome_region,acs,person,0,logistic_regression,0,blind_random,0,100,target,uncalibrated,mondrian,base_uncalibrated_probability,stage2_v2,success,,,0.6625580478975156,0.71340882416581985,100,63,37,False,False,False,True,411203fe5100ef369736ab5e818bf3c0b374e6a13e237709d7507437ec81a944,57d25909a06f8a044e9d4d68d15a5a83f9e4c354115085cbdfab74684c53967f,388280e28df93edaf3c7227106e42611ccb11fc45925a6ad0f0834bcadf5eee5,b41532b06fd26f1bea0ea1b9e73ffb0cecbb46ceee212456d61519f3541a315d,d745e5412c1d530a2ae64e2eaa42c85c1f64e419,2026-07-12T14:17:53.814423+00:00
acsincome_region,acs,person,0,logistic_regression,0,blind_random,0,100,target,uncalibrated,standard,source_sigmoid_probability,stage2_v2,success,,0.64553020853639509,,,100,63,37,False,False,False,True,411203fe5100ef369736ab5e818bf3c0b374e6a13e237709d7507437ec81a944,57d25909a06f8a044e9d4d68d15a5a83f9e4c354115085cbdfab74684c53967f,388280e28df93edaf3c7227106e42611ccb11fc45925a6ad0f0834bcadf5eee5,b41532b06fd26f1bea0ea1b9e73ffb0cecbb46ceee212456d61519f3541a315d,d745e5412c1d530a2ae64e2eaa42c85c1f64e419,2026-07-12T14:17:53.818165+00:00
acsincome_region,acs,person,0,logistic_regression,0,blind_random,0,100,target,uncalibrated,mondrian,source_sigmoid_probability,stage2_v2,success,,,0.65814855658689164,0.71288314429539712,100,63,37,False,False,False,True,411203fe5100ef369736ab5e818bf3c0b374e6a13e237709d7507437ec81a944,57d25909a06f8a044e9d4d68d15a5a83f9e4c354115085cbdfab74684c53967f,388280e28df93edaf3c7227106e42611ccb11fc45925a6ad0f0834bcadf5eee5,b41532b06fd26f1bea0ea1b9e73ffb0cecbb46ceee212456d61519f3541a315d,d745e5412c1d530a2ae64e2eaa42c85c1f64e419,2026-07-12T14:17:53.821907+00:00
acsincome_region,acs,person,0,logistic_regression,0,blind_random,0,250,target,uncalibrated,standard,base_uncalibrated_probability,stage2_v2,success,,0.62251699508409775,,,250,149,101,False,False,False,True,411203fe5100ef369736ab5e818bf3c0b374e6a13e237709d7507437ec81a944,57d25909a06f8a044e9d4d68d15a5a83f9e4c354115085cbdfab74684c53967f,388280e28df93edaf3c7227106e42611ccb11fc45925a6ad0f0834bcadf5eee5,a5cfb0a7456b32e51054745aa61bc751df15b107f71f5cd74ab2a0d6d0a8d9ff,d745e5412c1d530a2ae64e2eaa42c85c1f64e419,2026-07-12T14:17:54.276076+00:00
acsincome_region,acs,person,0,logistic_regression,0,blind_random,0,250,target,uncalibrated,mondrian,base_uncalibrated_probability,stage2_v2,success,,,0.57734074030036175,0.66973310893473137,250,149,101,False,False,False,True,411203fe5100ef369736ab5e818bf3c0b374e6a13e237709d7507437ec81a944,57d25909a06f8a044e9d4d68d15a5a83f9e4c354115085cbdfab74684c53967f,388280e28df93edaf3c7227106e42611ccb11fc45925a6ad0f0834bcadf5eee5,a5cfb0a7456b32e51054745aa61bc751df15b107f71f5cd74ab2a0d6d0a8d9ff,d745e5412c1d530a2ae64e2eaa42c85c1f64e419,2026-07-12T14:17:54.279725+00:00
acsincome_region,acs,person,0,logistic_regression,0,blind_random,0,250,target,uncalibrated,standard,source_sigmoid_probability,stage2_v2,success,,0.62326842822624418,,,250,149,101,False,False,False,True,411203fe5100ef369736ab5e818bf3c0b374e6a13e237709d7507437ec81a944,57d25909a06f8a044e9d4d68d15a5a83f9e4c354115085cbdfab74684c53967f,388280e28df93edaf3c7227106e42611ccb11fc45925a6ad0f0834bcadf5eee5,a5cfb0a7456b32e51054745aa61bc751df15b107f71f5cd74ab2a0d6d0a8d9ff,d745e5412c1d530a2ae64e2eaa42c85c1f64e419,2026-07-12T14:17:54.283282+00:00
acsincome_region,acs,person,0,logistic_regression,0,blind_random,0,250,target,uncalibrated,mondrian,source_sigmoid_probability,stage2_v2,success,,,0.57377979827741643,0.66980004741610233,250,149,101,False,False,False,True,411203fe5100ef369736ab5e818bf3c0b374e6a13e237709d7507437ec81a944,57d25909a06f8a044e9d4d68d15a5a83f9e4c354115085cbdfab74684c53967f,388280e28df93edaf3c7227106e42611ccb11fc45925a6ad0f0834bcadf5eee5,a5cfb0a7456b32e51054745aa61bc751df15b107f71f5cd74ab2a0d6d0a8d9ff,d745e5412c1d530a2ae64e2eaa42c85c1f64e419,2026-07-12T14:17:54.286799+00:00
acsincome_region,acs,person,0,logistic_regression,0,blind_random,0,500,target,uncalibrated,standard,base_uncalibrated_probability,stage2_v2,success,,0.66321613290656933,,,500,298,202,False,False,False,True,411203fe5100ef369736ab5e818bf3c0b374e6a13e237709d7507437ec81a944,57d25909a06f8a044e9d4d68d15a5a83f9e4c354115085cbdfab74684c53967f,388280e28df93edaf3c7227106e42611ccb11fc45925a6ad0f0834bcadf5eee5,5c7d9bd514be1f0b55defb6a9af0234713a4aaaea851b0c72b6ab55c675bbe48,d745e5412c1d530a2ae64e2eaa42c85c1f64e419,2026-07-12T14:17:54.732529+00:00
acsincome_region,acs,person,0,logistic_regression,0,blind_random,0,500,target,uncalibrated,mondrian,base_uncalibrated_probability,stage2_v2,success,,,0.60795160694741879,0.71340882416581985,500,298,202,False,False,False,True,411203fe5100ef369736ab5e818bf3c0b374e6a13e237709d7507437ec81a944,57d25909a06f8a044e9d4d68d15a5a83f9e4c354115085cbdfab74684c53967f,388280e28df93edaf3c7227106e42611ccb11fc45925a6ad0f0834bcadf5eee5,5c7d9bd514be1f0b55defb6a9af0234713a4aaaea851b0c72b6ab55c675bbe48,d745e5412c1d530a2ae64e2eaa42c85c1f64e419,2026-07-12T14:17:54.736360+00:00
acsincome_region,acs,person,0,logistic_regression,0,blind_random,0,500,target,uncalibrated,standard,source_sigmoid_probability,stage2_v2,success,,0.661694800722746,,,500,298,202,False,False,False,True,411203fe5100ef369736ab5e818bf3c0b374e6a13e237709d7507437ec81a944,57d25909a06f8a044e9d4d68d15a5a83f9e4c354115085cbdfab74684c53967f,388280e28df93edaf3c7227106e42611ccb11fc45925a6ad0f0834bcadf5eee5,5c7d9bd514be1f0b55defb6a9af0234713a4aaaea851b0c72b6ab55c675bbe48,d745e5412c1d530a2ae64e2eaa42c85c1f64e419,2026-07-12T14:17:54.740146+00:00
acsincome_region,acs,person,0,logistic_regression,0,blind_random,0,500,target,uncalibrated,mondrian,source_sigmoid_probability,stage2_v2,success,,,0.60404692565162921,0.71288314429539712,500,298,202,False,False,False,True,411203fe5100ef369736ab5e818bf3c0b374e6a13e237709d7507437ec81a944,57d25909a06f8a044e9d4d68d15a5a83f9e4c354115085cbdfab74684c53967f,388280e28df93edaf3c7227106e42611ccb11fc45925a6ad0f0834bcadf5eee5,5c7d9bd514be1f0b55defb6a9af0234713a4aaaea851b0c72b6ab55c675bbe48,d745e5412c1d530a2ae64e2eaa42c85c1f64e419,2026-07-12T14:17:54.743771+00:00
acsincome_region,acs,person,0,logistic_regression,0,blind_random,1,25,target,uncalibrated,standard,base_uncalibrated_probability,stage2_v2,success,,0.83133605480222905,,,25,16,9,False,False,False,True,411203fe5100ef369736ab5e818bf3c0b374e6a13e237709d7507437ec81a944,57d25909a06f8a044e9d4d68d15a5a83f9e4c354115085cbdfab74684c53967f,388280e28df93edaf3c7227106e42611ccb11fc45925a6ad0f0834bcadf5eee5,e70f42069005907e01ab2e0837c6dc782ee14f52915fd4878ebcfd5b9e8f0d68,d745e5412c1d530a2ae64e2eaa42c85c1f64e419,2026-07-12T14:17:55.316131+00:00
acsincome_region,acs,person,0,logistic_regression,0,blind_random,1,25,target,uncalibrated,mondrian,base_uncalibrated_probability,stage2_v2,success,,,0.92427090150276037,0.77197021712680036,25,16,9,False,False,False,True,411203fe5100ef369736ab5e818bf3c0b374e6a13e237709d7507437ec81a944,57d25909a06f8a044e9d4d68d15a5a83f9e4c354115085cbdfab74684c53967f,388280e28df93edaf3c7227106e42611ccb11fc45925a6ad0f0834bcadf5eee5,e70f42069005907e01ab2e0837c6dc782ee14f52915fd4878ebcfd5b9e8f0d68,d745e5412c1d530a2ae64e2eaa42c85c1f64e419,2026-07-12T14:17:55.319721+00:00
acsincome_region,acs,person,0,logistic_regression,0,blind_random,1,25,target,uncalibrated,standard,source_sigmoid_probability,stage2_v2,success,,0.82672190427527725,,,25,16,9,False,False,False,True,411203fe5100ef369736ab5e818bf3c0b374e6a13e237709d7507437ec81a944,57d25909a06f8a044e9d4d68d15a5a83f9e4c354115085cbdfab74684c53967f,388280e28df93edaf3c7227106e42611ccb11fc45925a6ad0f0834bcadf5eee5,e70f42069005907e01ab2e0837c6dc782ee14f52915fd4878ebcfd5b9e8f0d68,d745e5412c1d530a2ae64e2eaa42c85c1f64e419,2026-07-12T14:17:55.323166+00:00
acsincome_region,acs,person,0,logistic_regression,0,blind_random,1,25,target,uncalibrated,mondrian,source_sigmoid_probability,stage2_v2,success,,,0.92104161449723654,0.77075730926095332,25,16,9,False,False,False,True,411203fe5100ef369736ab5e818bf3c0b374e6a13e237709d7507437ec81a944,57d25909a06f8a044e9d4d68d15a5a83f9e4c354115085cbdfab74684c53967f,388280e28df93edaf3c7227106e42611ccb11fc45925a6ad0f0834bcadf5eee5,e70f42069005907e01ab2e0837c6dc782ee14f52915fd4878ebcfd5b9e8f0d68,d745e5412c1d530a2ae64e2eaa42c85c1f64e419,2026-07-12T14:17:55.326555+00:00
acsincome_region,acs,person,0,logistic_regression,0,blind_random,1,50,target,uncalibrated,standard,base_uncalibrated_probability,stage2_v2,success,,0.82473431804322062,,,50,31,19,False,False,False,True,411203fe5100ef369736ab5e818bf3c0b374e6a13e237709d7507437ec81a944,57d25909a06f8a044e9d4d68d15a5a83f9e4c354115085cbdfab74684c53967f,388280e28df93edaf3c7227106e42611ccb11fc45925a6ad0f0834bcadf5eee5,992b94017e080cf788cf18d9a69242da11179b7662a12f686fab63b0c2c6e184,d745e5412c1d530a2ae64e2eaa42c85c1f64e419,2026-07-12T14:17:55.778740+00:00
acsincome_region,acs,person,0,logistic_regression,0,blind_random,1,50,target,uncalibrated,mondrian,base_uncalibrated_probability,stage2_v2,success,,,0.829210987597229,0.77197021712680036,50,31,19,False,False,False,True,411203fe5100ef369736ab5e818bf3c0b374e6a13e237709d7507437ec81a944,57d25909a06f8a044e9d4d68d15a5a83f9e4c354115085cbdfab74684c53967f,388280e28df93edaf3c7227106e42611ccb11fc45925a6ad0f0834bcadf5eee5,992b94017e080cf788cf18d9a69242da11179b7662a12f686fab63b0c2c6e184,d745e5412c1d530a2ae64e2eaa42c85c1f64e419,2026-07-12T14:17:55.782500+00:00
